"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France",1999,18th,98/100,"$6,982 "
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France",1962,18th,98/100,"$14,784 "
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France",1943,18th,98/100,"$3,916 "
"Chateau Montrose, Saint-Estephe, France",2016,21st,98/100,$234 
"Chateau Leoville-Las Cases 'Grand Vin de Leoville', Saint-Julien, France",2018,22nd,98/100,$272 
"Chateau Palmer, Margaux, France",2016,24th,98/100,$398 
"Masseto Toscana IGT, Tuscany, Italy",2015,35th,98/100,$876 
"Screaming Eagle Cabernet Sauvignon, Napa Valley, USA",2007,47th,98/100,"$4,164 "
"Vega Sicilia Unico Gran Reserva, Ribera del Duero, Spain",1948,51st,98/100,"$1,049 "
"Chateau Calon-Segur, Saint-Estephe, France",2018,55th,98/100,$144 
"Chateau Calon-Segur, Saint-Estephe, France",1943,55th,98/100,$575 
"Vieux Chateau Certan, Pomerol, France",2010,63rd,98/100,$352 
"Chateau Rauzan-Segla, Margaux, France",2018,66th,98/100,$135 
"Chateau Lafleur, Pomerol, France",2012,79th,98/100,$567 
"Chateau Lafleur, Pomerol, France",2000,79th,98/100,"$1,892 "
"Chateau Canon, Saint-Emilion Grand Cru, France",2018,83rd,98/100,$143 
"Chateau Ausone, Saint-Emilion Grand Cru, France",2016,84th,98/100,$925 
"Chateau Ausone, Saint-Emilion Grand Cru, France",2005,84th,98/100,"$1,512 "
"Le Pin, Pomerol, France",1990,91st,98/100,"$4,620 "
"Taylor Fladgate Vintage Port, Portugal",1927,107th,98/100,"$1,679 "
"Domaine de Chevalier, Pessac-Leognan, France",2018,114th,98/100,$79 
"Krug Clos du Mesnil Blanc de Blancs Brut, Champagne, France",1979,157th,98/100,"$4,364 "
"Domaine de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune, France",1986,158th,98/100,"$10,152 "
"Chateau Les Carmes Haut-Brion, Pessac-Leognan, France",2018,248th,98/100,$144 
"Domaine du Comte Liger-Belair La Romanee Grand Cru, Cote de Nuits, France",2012,257th,98/100,"$6,424 "
"Coche-Dury Corton-Charlemagne Grand Cru, Cote de Beaune, France",2010,267th,98/100,"$5,890 "
"E. Guigal Cote Rotie La Landonne, Rhone, France",2015,269th,98/100,$418 
"Tua Rita Redigaffi Toscana IGT, Tuscany, Italy",2000,322nd,98/100,$658 
"Vietti Rocche di Castiglione, Barolo DOCG, Italy",2016,379th,98/100,$280 
"Quinta do Noval Nacional Vintage Port, Portugal",2011,404th,98/100,"$1,817 "
"Quinta do Noval Nacional Vintage Port, Portugal",1963,404th,98/100,"$4,941 "
"Clarendon Hills Astralis Shiraz, McLaren Vale, Australia",2000,420th,98/100,$207 
"Don Julio 1942 Tequila Anejo, Jalisco, Mexico",,453rd,98/100,$156 
"Weingut Keller G-Max Riesling Trocken, Rheinhessen, Germany",2015,457th,98/100,"$2,283 "
"Weingut Keller G-Max Riesling Trocken, Rheinhessen, Germany",2004,457th,98/100,"$5,374 "
"Domaine du Pegau Chateauneuf-du-Pape Cuvee da Capo, Rhone, France",2016,463rd,98/100,$364 
"Domaine Leroy Richebourg Grand Cru, Cote de Nuits, France",1993,483rd,98/100,Ñ 
"Henri Bonneau Chateauneuf-du-Pape Reserve des Celestins, Rhone, France",1990,548th,98/100,"$2,899 "
"Henri Jayer Cros Parantoux, Vosne-Romanee Premier Cru, France",2001,553rd,98/100,"$16,384 "
"Bollinger Vieilles Vignes Francaises Blanc de Noirs, Champagne, France",1996,591st,98/100,"$1,606 "
"Domaine des Comtes Lafon Montrachet Grand Cru, Cote de Beaune, France",2014,650th,98/100,"$2,175 "
"Domaine Jean Grivot Richebourg Grand Cru, Cote de Nuits, France",2010,687th,98/100,"$1,750 "
"Domaine Jean Grivot Richebourg Grand Cru, Cote de Nuits, France",2005,687th,98/100,"$2,431 "
"Domaine Jacques-Frederic Mugnier Les Amoureuses, Chambolle-Musigny Premier Cru, France",2015,763rd,98/100,"$1,889 "
"Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley, USA",2012,839th,98/100,$706 
"Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley, USA",2008,839th,98/100,$850 
"Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon, Napa Valley, USA",2007,839th,98/100,$963 
"Bond Vecina Napa Valley, USA",2013,875th,98/100,$642 
"Domaine Bruno Clair Chambertin-Clos de Beze Grand Cru, Cote de Nuits, France",2018,906th,98/100,$265 
